,from_city,to_city,path_id,path_name,from_node,to_node,from_id,to_id,transport,transport_id,from_airport,to_airport,from_airport_id,to_airport_id,price_EUR,price_local,currency_local,distance_km,duration_min
0,Madrid,Oslo,0,"Fly to Oslo, train",Sol,Nuevos Ministerios,248,248,train,3,,,-1,-1,5,5,EUR,3,5
1,Madrid,Oslo,0,"Fly to Oslo, train",Madrid,Oslo,-1,-1,flight,1,MAD,OSL,248,277,53,,,,215
2,Madrid,Oslo,0,"Fly to Oslo, train",Oslo lufthavn stasjon,Oslo S,-1,277,train,3,,,-1,-1,15,,,47,22
3,Madrid,Oslo,1,"Fly to Oslo Sandefjord, train",Sol,Nuevos Ministerios,248,248,train,3,,,-1,-1,5,5,EUR,3,5
4,Madrid,Oslo,1,"Fly to Oslo Sandefjord, train",Madrid,Oslo Sandefjord,-1,-1,flight,1,MAD,TRF,248,277,31,,,,350
5,Madrid,Oslo,1,"Fly to Oslo Sandefjord, train",Sandefjord lufthavn Torp,Torp stasjon,-1,-1,bus,2,,,-1,-1,12,,,2,4
6,Madrid,Oslo,1,"Fly to Oslo Sandefjord, train",Torp stasjon,Nationaltheatret stasjon,-1,277,train,3,,,-1,-1,14,,,113,86
7,Madrid,Oslo,2,Train,Madrid-Puerta De Atocha,Barcelona-Sants,248,128,train,3,,,-1,-1,62,60,EUR,627,192
8,Madrid,Oslo,2,Train,Barcelona-Sants,Paris Gare De Lyon,128,293,train,3,,,-1,-1,82,85,EUR,1080,407
9,Madrid,Oslo,2,Train,Paris Gare De Lyon,Zuerich Hb,293,370,train,3,,,-1,-1,91,95,EUR,609,246
10,Madrid,Oslo,2,Train,Zuerich Hb,Hamburg-Altona,370,196,train,3,,,-1,-1,269,260,CHF,920,472
11,Madrid,Oslo,2,Train,Hamburg-Altona,Göteborg Centralstation,196,193,train,3,,,-1,-1,62,700,SEK,818,577
12,Madrid,Oslo,2,Train,Göteborg Centralstation,Oslo S,193,277,train,3,,,-1,-1,58,650,SEK,332,208
13,Madrid,Oslo,3,"Train, ferry",Madrid-Puerta De Atocha,Barcelona-Sants,248,128,train,3,,,-1,-1,62,60,EUR,627,192
14,Madrid,Oslo,3,"Train, ferry",Barcelona-Sants,Montpellier Saint-Roch,128,261,train,3,,,-1,-1,44,40,EUR,344,190
15,Madrid,Oslo,3,"Train, ferry",Montpellier Saint-Roch,Brussel-Zuid / Bruxelles-Midi,261,116,train,3,,,-1,-1,144,150,EUR,1064,352
16,Madrid,Oslo,3,"Train, ferry",Brussel-Zuid / Bruxelles-Midi,Siegburg/Bonn,116,-1,train,3,,,-1,-1,48,45,EUR,245,126
17,Madrid,Oslo,3,"Train, ferry",Siegburg Bf,Kiel Hbf,-1,-1,train,3,,,-1,-1,96,100,EUR,585,336
18,Madrid,Oslo,3,"Train, ferry",Kiel Hbf,Kiel Norwegen-Kai,-1,-1,walk,6,,,-1,-1,,,,2,18
19,Madrid,Oslo,4,Bus,Madrid,Paris,248,293,bus,2,,,248,293,58,55,EUR,1279,980
20,Madrid,Oslo,4,Bus,Paris,Berlin ZOB [Fernbus],293,124,bus,2,,,293,-1,53,50,EUR,1166,995
21,Madrid,Oslo,4,Bus,Berlin ZOB [Fernbus],Oslo,124,277,bus,2,,,-1,277,53,50,EUR,1195,1035
22,Madrid,Oslo,5,"Train, bus",Madrid-Puerta De Atocha,Barcelona-Sants,248,128,train,3,,,-1,-1,62,60,EUR,627,192
23,Madrid,Oslo,5,"Train, bus",Pl dels Països Catalans - Estació de Sants,València - Muntaner,128,128,bus,2,,,-1,-1,2,3,EUR,2,10
24,Madrid,Oslo,5,"Train, bus",Muntaner - València,Estació del Nord,128,128,bus,2,,,-1,-1,2,3,EUR,4,20
25,Madrid,Oslo,5,"Train, bus",Barcelona,Legnica,128,-1,bus,2,,,128,-1,62,290,PLN,1980,2055
26,Madrid,Oslo,5,"Train, bus",Legnica,Oslo,-1,277,bus,2,,,-1,277,48,220,PLN,1479,1365
27,Madrid,Oslo,6,"Bus, train, ferry",Madrid,Essen,248,-1,bus,2,,,248,-1,163,160,EUR,2255,3435
28,Madrid,Oslo,6,"Bus, train, ferry",Essen Hbf,Kiel Hbf,-1,-1,train,3,,,-1,-1,82,80,EUR,477,263
29,Madrid,Oslo,6,"Bus, train, ferry",Kiel Hbf,Kiel Norwegen-Kai,-1,-1,walk,6,,,-1,-1,,,,2,18
30,Madrid,Oslo,7,"Drive, car train",Madrid,Lörrach Hauptbahnhof,248,-1,car,4,,,248,-1,259,,,1555,901
31,Madrid,Oslo,7,"Drive, car train",Hamburg Altona,Oslo,196,277,car,4,,,-1,277,211,,,1061,627
32,Madrid,Oslo,8,Drive,Madrid,Oslo,248,277,car,4,,,248,277,624,,,3216,1793
